objectid,key,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territorial,tramo,sector,administrador,amv,superficie,calzada,ruta,fuente,fecha_fuente,fecha_actualiz,concesion,observacion_invias,estado,observacion_igac,reversion,pr_ini_con,pr_fin_con,ruleid_1
98,1,55040,5504,0,0,102,210,22,Troncal Central del Norte,La Palmera - Presidente,1,1,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,PR final 102+0000 (Ramón Lobo),rev,Act. seg 0 a 102,,0+0,102+210,1
99,1,64030,6403,0,0,78,11,22,Transversal San Gil - Mogotes - La Rosita,Cruce Ruta 45A (San Gil) - Onzaga,1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR final 78+0 Ramón Lobo,,,,0+0,78+11,1
100,1,100333,1003,33,0,137,700,19,Transversal Tumaco - Leticia,La Piscicultura - El Pepino,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,33+0,137+700,1
101,,25VLE0,25VLE,0,0,6,735,25,,Variante de Tuluá,3,,,1,,Google Maps,,2016-04-07T00:00:00.000Z,,PR final 6+900 en Ramón Lobo,,,,0+0,6+735,3
102,,45070,4507,0,0,14,150,24,Troncal del Magdalena,Castilla - Puente Saldaña,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,14+150,2
103,,450714,4507,14,270,24,60,24,Troncal del Magdalena,Castilla - Girardot,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,14+270,24+60,2
104,,450727,4507,27,1130,40,500,24,Troncal del Magdalena,Castilla - Girardot,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,27+1130,40+500,2
114,,55CNC0,55CNC,0,0,5,0,12,,Variante de Tocancipá,2,,,1,,Google Maps,,2015-12-09T00:00:00.000Z,,,3d_mal_central,,,0+0,5+0,2
120,1,20CQ010,20CQ01,0,0,1,27,06,Acceso a Florencia,Ramal Cruce Tramos 2003 (El Caraño) - 2003A (Las Doradas),1,2,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg,,0+0,1+27,1
121,1,2602A0,2602A,0,0,42,0,08,Alternas a la Troncal de Occidente,Piendamó - Totoró,1,4,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 34-35,,0+0,42+0,1
105,1,401021,4010,21,0,40,820,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puente Arimena - La Arepa,1,1,,1,,Digital Globe,2016-01-01T00:00:00.000Z,2016-09-21T00:00:00.000Z,,,,IGAC no actualizó,,21+0,40+820,1
106,1,65080,6508,0,0,103,938,16,Transversal Buga - Puerto Inirida,Cruce Puerto Rico - Ye de Granada,1,1,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,Via no está en Criterio Tecnico,urg rev,"Act. seg 87-89; 102-104",,0+0,103+938,1
107,2,65MTA0,65MTA,0,0,14,0,16,Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Lleras,1,3,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR final 13+0970 (Ramon Lobo),rev,,,0+0,14+0,1
108,1,10035,1003,5,0,33,0,17,Transversal Tumaco - Leticia,Pasto - La Piscicultura,1,5,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,5+0,33+0,1
109,3,26CC040,26CC04,0,0,4,0,08,,Cruce Tramo 2602 - San Andrés de Pisimbalá,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,4+0,1
122,2,25CC040,25CC04,0,0,28,0,08,,Popayán - El Rosarío,1,6,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 27-28,,0+0,28+0,1
110,2,25NRB0,25NRB,0,0,3,600,17,Alternas a la Troncal de Occidente,Variante de Daza,1,5,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 0-1,,0+0,3+600,1
111,2,29VLA0,29VLA,0,0,1,200,20,Acceso a Armenia,Variante de Alcalá y Accesos,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,1+200,1
112,1,2302123,2302,123,200,142,320,21,Alternas a la Troncal de Occidente,Ansermanuevo - La Virginia,1,1,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. 125-126; 129-130; 133-135",,123+200,142+320,1
113,2,50RS010,50RS01,0,0,32,443,21,Conexión Troncal de Occidente - Transversal Las Animas - Bogotá,Apía - La Virginia,1,1,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. 16-32+500,,0+0,32+443,1
115,1,450740,4507,40,500,45,0,24,Troncal del Magdalena,Paso Nacional por El Espinal,1,1,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR inicial 40+0500 (Ramón Lobo),rev,,,40+500,45+0,1
116,,25NRD0,25NRD,0,0,0,440,17,,Variante Oriental de Pasto,2,,,1,,Google Maps,,2015-12-09T00:00:00.000Z,,,3d_mal_oeste,,,0+0,0+440,2
117,2,25CC15_1121,25CC15_1,121,667,170,0,08,Transversal Rosas Condagua,Santiago - Santa Rosa,1,1,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 131-132,,121+667,170+0,1
118,3,65MTB0,65MTB,0,0,1,890,16,Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Limón,1,3,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 0-1+0890,,0+0,1+890,1
119,1,40100,4010,0,0,21,0,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puente Arimena - La Arepa,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,21+0,1
145,3,650957,6509,57,352,58,564,16,Troncal Villagarzon - Saravena,Paso Antiguo por el Río Guayuriba,1,1,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,57+352,58+564,1
123,1,500746,5007,46,0,46,1150,24,Transversal Las Animas - Bogotá,Puente Luis Ignacio Andrade en Honda (VARIANTE HONDA - PUERTO BOGOTÁ),1,2,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,46+0,46+1150,1
124,1,40TL050,40TL05,0,0,3,224,24,Transversal Buenaventura - Villavicencio - Puerto Carreño,Cruce Ruta 40 - La Tambora,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,3+224,1
125,1,23020,2302,0,0,123,200,25,Alternas a la Troncal de Occidente,Mediacanoa - Ansermanuevo,1,3,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,123+200,1
126,1,65020,6502,0,0,58,66,06,Troncal Villagarzon - Saravena,San José del Fragua - Florencia,1,2,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. seg 28-30;32-37;43-46;49-50;57-58",,0+0,58+66,1
130,1,5008A58,5008A,58,920,63,950,12,Transversal Las Animas - Bogotá,Paso Nacional por Madrid,1,1,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,58+920,63+950,1
131,,230112,2301,12,0,53,522,25,Alternas a la Troncal de Occidente,Yumbo - Mediacanoa,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,pr final 54+0400 en Ramón Lobo,,,,12+0,53+522,2
132,2,48032,4803,2,350,12,0,25,Alternas a la Troncal de Occidente,Ansermanuevo - Cartago,1,3,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,Se divide por paso de Via 2302. Jorge P,,,,2+350,12+0,1
140,,6508103,6508,103,938,106,0,16,Transversal Buga - Puerto Inirida,Ye de Granada - Casco Urbano Granada,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,MALLA VIAL DEL META 2015. (ENTREGADO 9-JUN-2015),,,,,103+938,106+0,2
141,1,65070,6507,0,0,102,600,16,Transversal Buga - Puerto Inirida,San José del Guaviare - Cruce Puerto Rico,1,4,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,102+600,1
127,1,40CNB28,40CNB,28,800,40,400,12,,Puente Real - Cáqueza - El Tablón,1,1,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,28+800,40+400,1
128,1,30020,3002,0,0,57,500,14,Transversal Neiva - San Vicente,Balsillas - Santo  Domingo,1,3,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. seg 3-4; 7-9;19-20; 36-39",,0+0,57+500,1
129,1,12030,1203,0,0,110,60,08,Transversal Rosas Condagua,La Lupa - Santiago,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,110+60,1
142,1,2003A41,2003A,41,742,83,537,06,Acceso a Florencia,Depresión El Vergel - Florencia,1,1,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. seg 46-48; 71-72",,41+742,83+537,1
143,1,65040,6504,0,0,81,92,06,Troncal Villagarzon - Saravena,Puerto Rico - Mina Blanca,1,3,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 0-81,,0+0,81+92,1
133,2,48030,4803,0,0,2,250,25,Alternas a la Troncal de Occidente,Ansermanuevo - Cartago,1,3,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,Se divide por paso de Via 2302. Jorge P,,,,0+0,2+250,1
134,1,290228,2902,28,600,45,0,05,Acceso a Manizales,Chinchiná - Estación Uribe,1,1,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 44-45,,28+600,45+0,1
135,1,31050,3105,0,0,50,0,08,Alternas a la Troncal de Occidente,Santander de Quilichao - Río Desbaratado,1,5,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 10-11,,0+0,50+0,1
136,1,25030,2503,0,0,121,0,08,Troncal de Occidente,Mojarras - Popayán,1,7,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,121+0,1
137,1,85014,8501,4,386,25,0,06,Acceso a Leticia,Leticia - Tarapacá,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,4+386,25+0,1
138,,250525,2505,25,0,67,0,25,Troncal de Occidente,Palmira - Buga,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,25+0,67+0,2
139,2,25NR040,25NR04,0,0,0,662,17,,Acceso Aeropuerto de Pasto,1,4,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR final 0+700 Ramón Lobo,,,,0+0,0+662,1
144,1,200338,2003,38,0,73,747,06,Acceso a Florencia,Gabinete - El Caraño,1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,38+0,73+747,1
146,3,65MTC0,65MTC,0,0,3,100,16,Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Santander,1,3,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 0-3+0100,,0+0,3+100,1
147,1,250236,2502,36,0,124,599,17,Troncal de Occidente,Cano - Mojarras,1,4,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,36+0,124+599,1
148,,400162,4001,62,408,118,412,25,Transversal Buenaventura - Villavicencio - Puerto Carreño,Cruce Ruta 40 (Loboguerrero) - Buga,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,62+408,118+412,2
149,,43050,4305,0,0,105,193,24,Troncal del Magdalena,Ibagué - Mariquita,2,,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,CAMBAO - MANIZALES. (ENTREGADA 21-AGT-2015),,,"Act. seg 1-2, 54 a 56, 103 a 105",,0+0,105+193,2
150,,45100,4510,0,0,0,170,24,Troncal del Magdalena,Viaducto Honda - Entrada Puente Puerto Salgar,2,,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 33- 34,,0+0,0+170,2
151,1,65030,6503,0,0,96,763,06,Troncal Villagarzon - Saravena,Florencia - Puerto Rico,1,1,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,96+763,1
155,,40TLF0,40TLF,0,0,17,0,24,Transversal Buenaventura - Villavicencio - Puerto Carreño,Variante Picaleña,2,,,1,,Google Maps,,2016-03-04T00:00:00.000Z,,,3d_mal_central,,,0+0,17+0,2
156,,40TLD0,40TLD,0,0,6,300,24,Transversal Buenaventura - Villavicencio - Puerto Carreño,Variante Gualanday,2,,,1,,Google Maps,,2016-03-04T00:00:00.000Z,,pr final 10+0300 en Ramón Lobo,3d_mal_central,,,0+0,6+300,2
157,1,25025,2502,5,0,36,0,17,Troncal de Occidente,San Juan de Pasto - Cano,1,4,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,DEVUELTA CONCESIÓN DEVINAR (4-MAY-2015). STAND-BY PASTO-POPAYÁN,,,,,5+0,36+0,1
158,1,62059,6205,9,0,9,700,01,Transversal Tribuga - Arauca,Paso Nacional por Barbosa,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,Entregada 9 de marzo de 2016,,,,,9+0,9+700,1
159,,25VLH0,25VLH,0,0,4,320,25,,Variante de Zarzal,3,,,1,,Google Maps,,2016-04-07T00:00:00.000Z,,,3d_mal_oeste,,,0+0,4+320,3
160,,25VLD0,25VLD,0,0,1,150,25,,Variante Sonso,2,,,1,,Google Maps,,2016-04-07T00:00:00.000Z,,,3d_mal_oeste,,,0+0,1+150,2
443,,49010,4901,0,0,140,0,09,Troncal del Carbon,San Roque - La Paz,2,,,1,,Google Maps,2015-09-01T00:00:00.000Z,2016-01-01T00:00:00.000Z,APP CESAR - GUAJIRA (ENTREGADA 12-AGT-2015),,,"Act. seg 39-42; 97-98; 139-140",,0+0,140+0,2
152,1,37020,3702,0,0,42,0,08,,Guadualejo - Irlanda,1,4,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,42+0,1
153,,25CCC0,25CCC,0,0,2,780,08,,Variante Villarica,2,,,1,,Google Maps,,2016-03-04T00:00:00.000Z,,PR final 2+800 en Ramón Lobo,3d_mal_oeste,,,0+0,2+780,2
154,1,43010,4301,0,0,49,500,14,,Cruce Tesalia - Teruel,1,2,,2,,Google Maps (DC Criterio Técnico),2016-06-15T00:00:00.000Z,2016-06-27T00:00:00.000Z,,,3d_mal_oeste,"Act. seg 30-32; 38-39: 40-45",,0+0,49+500,1
444,,62059,6205,9,700,53,0,01,Transversal Tribuga - Arauca,Barbosa - Cisneros,2,,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,Entregada 9 de marzo de 2016,,,"Act. seg 18 - 19; 23-25",,9+700,53+0,2
161,,29RS012,29RS01,2,0,11,0,21,Acceso a Pereira,Pereira - Cerritos,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR inicial  y final 0+0000 a 9+0310,,,,2+0,11+0,2
162,,90071,9007,1,1794,94,785,15,Transversal del Caribe,Barranquilla - Santa Marta,3,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR final 94+0785 (Ramon Lobo),rev,,,1+1794,94+785,3
176,1,370259,3702,59,0,61,0,08,,Puente Río Negro - El Palo,1,5,,1,,Digital Globe,2016-01-01T00:00:00.000Z,2016-09-08T00:00:00.000Z,,"PR inicial 53+0000 (Ramón Lobo), no hay via capturada en cartografía",rev,,,59+0,61+0,1
163,1,25NRD0,25NRD,0,440,21,170,17,,Variante Oriental de Pasto,1,4,,1,,Google Maps,,2015-12-09T00:00:00.000Z,,,3d_mal_oeste,,,0+440,21+170,1
164,1,64030,6403,0,0,78,11,22,Transversal San Gil - Mogotes - La Rosita,Cruce Ruta 45A (San Gil) - Onzaga,1,2,,1,,Digital Globe,2016-01-01T00:00:00.000Z,2016-09-28T00:00:00.000Z,,PR final 78+0 Ramón Lobo,,,,0+0,78+11,1
165,,45TLB0,45TLB,0,0,4,120,24,,Variante Espinal,2,,,1,,Google Maps,,2016-03-04T00:00:00.000Z,,,3d_mal_central,,,0+0,4+120,2
166,,25VLC0,25VLC,0,0,1,400,25,,Variante Ginebra     ,2,,,1,,Google Maps,,2016-04-07T00:00:00.000Z,,PR 0 a 1 longitud 1500 en cartografia,3d_mal_oeste,,,0+0,1+400,2
167,,400162,4001,62,408,118,412,25,Transversal Buenaventura - Villavicencio - Puerto Carreño,Cruce Ruta 40 (Loboguerrero) - Buga,2,,,1,,Google Maps,,2016-06-22T00:00:00.000Z,,,3d_mal_oeste,,,62+408,118+412,2
168,3,65MTD0,65MTD,0,0,4,110,16,Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Aljure,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,4+110,1
169,1,370177,3701,77,0,87,750,08,Transversal Huila - Cauca,Puerto Valencia - Guadualejo (Paso Antiguo por Quebrada El Trueno),1,3,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,77+0,87+750,1
170,2,370155,3701,55,350,77,0,14,Transversal Huila - Cauca,La Plata - Puerto Valencia,1,2,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 60-77,,55+350,77+0,1
171,2,25VL070,25VL07,0,0,20,100,20,Acceso a Armenia,Cartago - Alcalá,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,20+100,1
186,2,65AMTC0,65AMTC,0,0,1,300,16,Transversal Buga - Puerto Inirida,Acceso a Granada,1,3,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 0-1+0300,,0+0,1+1005,1
172,1,50CN0310,50CN03,10,505,14,500,12,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,Sopó - Cruce Ruta 55 (Briceño),1,1,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 10 a 14+500,,10+505,14+500,1
173,,65MTF0,65MTF,0,0,1,780,16,Troncal Villagarzon - Saravena,"Variante de Restrepo
Variante de Restrepo",2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,VILLAVICENCIO - YOPAL (ENTREGADA 8-SEPT-2015),,,,,0+0,1+780,2
174,,45A0416,45A04,16,100,25,200,12,Troncal Central,Bogotá - Ubaté,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,16+100,25+200,2
175,1,45A0411,45A04,11,700,16,100,12,Troncal Central,Paso Nacional por Cajicá,1,1,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,11+700,16+100,1
187,,25B011,25B01,1,250,42,138,01,Alternas a la Troncal de Occidente,La Pintada - Peñalisa,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,1+250,42+138,2
188,,62059,6205,9,700,53,0,01,Transversal Tribuga - Arauca,Barbosa - Cisneros,2,,,1,,Google Maps,2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,Entregada 9 de marzo de 2016,,,"Act. seg 18 - 19; 23-25",,9+700,53+0,2
177,,45ACNA0,45ACNA,0,0,6,625,12,Troncal Central,Variante Cajicá,2,,,1,,Google Maps,,2016-03-04T00:00:00.000Z,,,3d_mal_central,,,0+0,6+625,2
178,,45ACND0,45ACND,0,0,6,836,12,,Variante Portachuelo - Casablanca,2,,,1,,Google Maps,,2016-03-04T00:00:00.000Z,,Falta en Ramón Lobo,3d_mal_central,,,0+0,6+836,2
179,,90BLB0,90BLB,0,0,29,1383,03,Alternas a la Transversal del Caribe,Variante de Gambote,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,29+1383,2
195,,45TLA0,45TLA,0,0,5,800,24,,Variante El Guamo,2,,,1,,Google Maps,,2015-12-09T00:00:00.000Z,,,3d_mal_central,,,0+0,5+800,2
180,,45A040,45A04,0,0,11,700,12,Troncal Central,Bogotá - Ubaté,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,11+700,2
181,,90A010,90A01,79,480,79,494,02,Transversal del Caribe, Playa Mendoza ,1,1,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,3d_mal_central,,,79+480,79+494,1
182,,45ACNB0,45ACNB,0,0,3,257,12,Troncal Central,Variante Portachuelo,2,,,1,,Google Maps,,2016-03-04T00:00:00.000Z,,,3d_mal_central,,,0+0,3+257,2
183,2,65A020,65A02,0,0,109,821,16,Troncal Villagarzon - Saravena,La Uribe - Ye de Granada,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,109+821,1
184,3,65AMTB0,65AMTB,0,0,2,1012,16,Troncal Villagarzon - Saravena,Accesos al Puente Guillermo León Valencia,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,2+1012,1
185,,49026,4902,6,210,75,234,13,Troncal del Carbon,Río Pereira - Buenavista,2,,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,APP CESAR - GUAJIRA (ENTREGADA 12-AGT-2015),PR inicial y final  6+0199 y 75+0237 (Ramón Lobo),rev,"Act. seg 6+0210-7; 32-33; 37-8; 57-58",,6+210,75+234,2
189,,50050,5005,0,0,23,570,05,Troncal del Eje Cafetero,Tres Puertas -La Manuela - Estación Uribe,2,,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,PR final 23+880 (Ramón Lobo),rev,Act. seg 23-24,,0+0,23+570,2
190,2,65AMTA0,65AMTA,0,0,3,1100,16,Troncal Villagarzon - Saravena,Paso por Puerto Caldas,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,3+1100,1
191,1,65PTA0,65PTA,0,0,4,190,19,,Variante El Jardín,1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,4+190,1
212,1,45A0425,45A04,25,200,28,200,12,Troncal Central,Paso Nacional por Zipaquirá,1,1,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 25+200-28+200,,25+200,28+200,1
213,2,370155,3701,55,350,77,0,14,Transversal Huila - Cauca,La Plata - Puerto Valencia (Paso Antiguo por Quebrada El Trueno),1,2,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 60-77,,55+350,77+0,1
192,2,45HL011,45HL01,1,350,23,150,14,,Hobo - Yaguará (Inspección de Letrán),1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,1+350,23+150,1
193,,40050,4005,0,0,0,211,12,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puente Mariano Ospina Perez,2,,,1,,Google Maps,2016-01-01T00:00:00.000Z,2016-06-26T00:00:00.000Z,,,,,,0+0,0+211,2
214,1,25130,2513,0,0,3,350,11,Troncal de Occidente,Paso Nacional por Caucasia,1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,3+350,1
215,1,20010,2001,0,0,58,50,08,Conexión Costa Pacifica - Troncal de Occidente,Munchique - Popayán (Paso Antiguo Puente Zarzal),1,2,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. seg 0-2, 40-42",,0+0,58+50,1
216,1,20010,2001,0,0,58,50,08,Conexión Costa Pacifica - Troncal de Occidente,Munchique - Popayán,1,2,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. seg 0-2, 40-42",,0+0,58+50,1
217,1,10020,1002,0,0,95,0,17,Transversal Tumaco - Leticia,Junín - Tuquerres,1,2,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,Se dividio Sector según Criterio Tecnico AMV 2 (95+0000),div,,,0+0,95+0,1
194,,40070,4007,0,0,78,222,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Villavicencio - Paso por el Puente sobre el Río La Balsa -Puerto Lopez,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,MALLA VIAL DEL META 2015. (ENTREGADO 9-JUN-2015),pr final 78+0305 Ramón Lobo,,,,0+0,78+222,2
